playerName,height,weight,birthDate,country,url,goals,shots,penalties,foulsReceived,offSides,foulsCommited,recoveries,passesCutOff,entrancesWon,duels,cards,passes,goalAssists,dribbles,corners,ballLosses
Marc-André ter Stegen,187 cm,85 kg,29 de abril de 1992 en Mönchengladbach,Alemania,https://www.marca.com/resultados/futbol/jugadores/84/0d/marc-andre-ter-stegen/ficha/P77318.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignacio Peña Sotorres,184 cm,78 kg,1 de marzo de 1999 en Alicante,España,https://www.marca.com/resultados/futbol/jugadores/ae/a9/inaki-pena/ficha/P210341.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ander Astralaga,,,2 de marzo de 2004,España,https://www.marca.com/resultados/futbol/jugadores/e3/5c/ander-astralaga/ficha/P551073.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnau Tenas,185 cm,85 kg,29 de mayo de 2001 en Vic,España,https://www.marca.com/resultados/futbol/jugadores/7b/0e/arnau-tenas/ficha/P449924.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronald Araújo,188 cm,79 kg,6 de marzo de 1999 en Rivera,Uruguay,https://www.marca.com/resultados/futbol/jugadores/f9/13/ronald-araujo/ficha/P445087.html,0,12,0,9,1,11,61,10,829,13,101,7,2,6,4,114
Andreas Christensen,187 cm,82 kg,9 de abril de 1996 en Lillerod,Dinamarca,https://www.marca.com/resultados/futbol/jugadores/7f/4e/andreas-christensen/ficha/P135363.html,0,5,0,6,0,13,74,14,1094,10,84,2,1,0,1,80
Marcos Alonso,188 cm,84 kg,27 de diciembre de 1990 en Madrid,España,https://www.marca.com/resultados/futbol/jugadores/23/5a/marcos-alonso/ficha/P82263.html,1,3,0,4,0,7,46,10,661,7,51,1,0,1,11,70
Jordi Alba,170 cm,68 kg,20 de marzo de 1989 en Hospitalet de Llobregat,España,https://www.marca.com/resultados/futbol/jugadores/6d/98/jordi-alba/ficha/P52356.html,1,6,0,3,9,7,87,10,951,14,78,3,3,4,67,192
Sergi Roberto,178 cm,68 kg,6 de febrero de 1992 en Reus,España,https://www.marca.com/resultados/futbol/jugadores/0c/fc/sergi-roberto/ficha/P86157.html,4,11,0,10,1,17,54,10,695,14,81,3,1,5,20,87
Jules Koundé,180 cm,75 kg,11 de noviembre de 1998 en Paris,Francia,https://www.marca.com/resultados/futbol/jugadores/33/8b/jules-kounde/ficha/P220325.html,0,8,0,9,1,15,110,17,1232,16,125,1,2,11,18,206
Eric García,182 cm,76 kg,8 de enero de 2001,España,https://www.marca.com/resultados/futbol/jugadores/82/2d/eric-garcia/ficha/P432656.html,1,4,0,5,0,16,70,16,971,11,75,3,0,2,0,95
Alejandro Balde,175 cm,69 kg,17 de octubre de 2003 en Barcelona,España,https://www.marca.com/resultados/futbol/jugadores/c4/eb/alex-balde/ficha/P493019.html,0,6,0,19,2,19,107,9,1043,20,170,3,5,35,44,211
Chadi Riad,,,16 de junio de 2003,Marruecos,https://www.marca.com/resultados/futbol/jugadores/dc/80/chadi-riad/ficha/P515621.html,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sergio Busquets,189 cm,76 kg,15 de julio de 1988 en Sabadell,España,https://www.marca.com/resultados/futbol/jugadores/66/c3/sergio-busquets/ficha/P54104.html,0,4,0,35,0,23,144,21,1382,25,229,5,3,9,4,191
Pedro González López,174 cm,60 kg,24 de noviembre de 2002 en Tenerife,España,https://www.marca.com/resultados/futbol/jugadores/04/2b/pedri/ficha/P490541.html,6,14,0,36,3,8,114,11,1136,20,181,2,0,30,21,217
Franck Kessié,183 cm,74 kg,18 de diciembre de 1996 en Ouragahio,CostadeMarfil,https://www.marca.com/resultados/futbol/jugadores/d3/99/franck-kessie/ficha/P173181.html,1,6,0,12,2,14,41,8,267,5,71,4,1,6,3,74
Frenkie de Jong,181 cm,74 kg,11 de mayo de 1997 en Arkel,PaísesBajos,https://www.marca.com/resultados/futbol/jugadores/f8/5f/frenkie-de-jong/ficha/P209712.html,2,13,0,24,1,20,130,29,1448,18,178,2,1,27,21,211
Marc Casadó,172 cm,66 kg,13 de septiembre de 2003,España,https://www.marca.com/resultados/futbol/jugadores/a7/a0/marc-casado/ficha/P494927.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Martín Páez Gavira,173 cm,70 kg,4 de agosto de 2004 en Los Palacios y Villafranca,España,https://www.marca.com/resultados/futbol/jugadores/df/c1/gavi/ficha/P500046.html,1,10,0,50,8,63,92,17,856,25,297,6,3,25,32,236
Pablo Torre,173 cm,63 kg,2 de abril de 2003,España,https://www.marca.com/resultados/futbol/jugadores/95/40/pablo-torre/ficha/P522627.html,0,0,0,0,0,2,2,1,22,0,6,0,0,0,2,7
